Order_Date,Region,Category,Sub_Category,Product_Name,Price,Cost,Quantity,Revenue,Profit,Inventory_Days
2023-12-31,North,Office Supplies,Paper,Paper Product 9967,59.38,36.01,19,1128.22,444.0300000000001,44
2023-10-31,South,Grocery,Snacks,Snacks Product 1825,176.91,122.29,7,1238.37,382.3399999999999,77
2023-11-30,North,Grocery,Snacks,Snacks Product 6988,439.96,377.17,4,1759.84,251.15999999999985,19
2023-03-31,North,Electronics,Accessories,Accessories Product 7806,212.18,154.94,7,1485.26,400.68000000000006,105
2023-07-31,East,Grocery,Beverages,Beverages Product 9787,379.73,241.54,17,6455.41,2349.2300000000005,71
2023-11-30,North,Electronics,Laptops,Laptops Product 5171,58.99,36.5,9,530.91,202.41000000000003,28
2023-04-30,West,Electronics,Accessories,Accessories Product 5491,290.98,238.94,5,1454.9,260.2000000000001,108
2023-04-30,North,Electronics,Accessories,Accessories Product 8860,473.64,413.7,7,3315.48,419.58,118
2023-10-31,East,Furniture,Tables,Tables Product 7801,226.35,206.14,11,2489.85,222.3100000000001,84
2023-10-31,South,Office Supplies,Paper,Paper Product 2191,312.93,198.83,7,2190.51,798.6999999999999,55
2023-11-30,South,Furniture,Chairs,Chairs Product 2365,356.06,223.77,5,1780.3,661.4499999999999,47
2023-07-31,East,Office Supplies,Paper,Paper Product 2810,493.14,425.92,6,2958.84,403.3199999999998,40
2023-11-30,East,Grocery,Snacks,Snacks Product 5748,131.87,94.36,3,395.61,112.53000000000002,54
2023-04-30,South,Furniture,Tables,Tables Product 4072,68.22,43.74,9,613.98,220.31999999999996,48
2023-09-30,West,Clothing,Men,Men Product 1133,193.69,135.58,1,193.69,58.109999999999985,47
2023-05-31,West,Furniture,Chairs,Chairs Product 7190,31.27,28.88,5,156.35,11.950000000000003,45
2023-01-31,South,Electronics,Phones,Phones Product 9120,317.5,255.43,16,5080.0,993.1199999999999,96
2023-08-31,West,Clothing,Women,Women Product 7819,203.32,129.59,8,1626.56,589.8399999999999,101
2023-02-28,West,Furniture,Tables,Tables Product 7042,140.31,101.88,4,561.24,153.72000000000003,73
2023-05-31,North,Electronics,Phones,Phones Product 8714,408.76,343.22,13,5313.88,852.0199999999995,55
2023-03-31,South,Grocery,Snacks,Snacks Product 3871,365.6,297.85,2,731.2,135.5,19
2023-05-31,North,Furniture,Storage,Storage Product 9415,22.92,16.77,1,22.92,6.150000000000002,27
2023-10-31,North,Electronics,Accessories,Accessories Product 5000,196.64,184.74,17,3342.8799999999997,202.2999999999996,86
2023-01-31,East,Furniture,Chairs,Chairs Product 6989,16.7,10.46,17,283.9,106.07999999999997,78
2023-05-31,East,Clothing,Men,Men Product 8245,365.8,316.41,19,6950.2,938.4099999999997,26
2023-03-31,North,Electronics,Laptops,Laptops Product 4419,144.62,97.26,1,144.62,47.36,113
2023-06-30,South,Furniture,Tables,Tables Product 2077,388.44,303.78,12,4661.28,1015.9200000000003,74
2023-11-30,South,Office Supplies,Paper,Paper Product 2252,207.71,134.37,15,3115.65,1100.1000000000001,32
2023-11-30,South,Grocery,Snacks,Snacks Product 7241,114.35,74.07,2,228.7,80.56,47
2023-11-30,East,Furniture,Tables,Tables Product 6115,54.59,46.63,6,327.54,47.760000000000005,106
2023-05-31,North,Furniture,Storage,Storage Product 3832,400.27,304.51,17,6804.59,1627.9199999999998,83
2023-06-30,South,Office Supplies,Paper,Paper Product 2906,251.38,179.75,11,2765.18,787.93,52
2023-11-30,East,Electronics,Accessories,Accessories Product 9472,78.03,64.32,8,624.24,109.68000000000006,13
2023-02-28,East,Clothing,Kids,Kids Product 5777,304.95,206.86,5,1524.75,490.4499999999999,91
2023-06-30,North,Grocery,Snacks,Snacks Product 8240,69.11,52.61,14,967.54,231.0,43
2023-09-30,East,Furniture,Chairs,Chairs Product 5143,347.01,270.35,11,3817.1099999999997,843.2599999999996,72
2023-04-30,South,Grocery,Beverages,Beverages Product 1638,405.04,349.1,15,6075.6,839.0999999999999,56
2023-08-31,South,Furniture,Storage,Storage Product 6122,363.05,225.75,19,6897.95,2608.7000000000003,16
2023-02-28,West,Clothing,Kids,Kids Product 9152,229.23,180.27,15,3438.45,734.3999999999996,73
2023-09-30,East,Grocery,Snacks,Snacks Product 7288,421.95,266.34,12,5063.4,1867.3200000000002,34
2023-10-31,West,Grocery,Beverages,Beverages Product 5206,396.69,307.22,15,5950.35,1342.0499999999995,109
2023-08-31,West,Furniture,Storage,Storage Product 3739,221.51,142.8,9,1993.59,708.3899999999999,110
2023-08-31,East,Furniture,Tables,Tables Product 2733,254.14,181.87,1,254.14,72.26999999999998,62
2023-08-31,East,Office Supplies,Binders,Binders Product 2063,449.42,282.27,19,8538.98,3175.850000000001,40
2023-02-28,South,Grocery,Dairy,Dairy Product 1117,292.24,269.18,15,4383.6,345.90000000000003,15
2023-06-30,West,Electronics,Laptops,Laptops Product 7316,337.64,312.41,15,5064.599999999999,378.4499999999994,84
2023-10-31,South,Office Supplies,Paper,Paper Product 5208,168.6,126.27,1,168.6,42.33,29
2023-10-31,North,Office Supplies,Pens,Pens Product 7988,386.21,243.53,11,4248.3099999999995,1569.4799999999998,109
2023-06-30,North,Clothing,Kids,Kids Product 8041,174.94,113.19,10,1749.4,617.5,53
2023-01-31,West,Grocery,Snacks,Snacks Product 4490,78.02,46.89,9,702.18,280.16999999999996,84
2023-12-31,South,Electronics,Phones,Phones Product 3635,482.86,310.72,11,5311.46,1893.54,18
2023-08-31,North,Clothing,Kids,Kids Product 7413,363.58,224.27,8,2908.64,1114.4799999999998,20
2023-05-31,East,Office Supplies,Binders,Binders Product 5227,101.34,69.16,14,1418.76,450.5200000000001,35
2023-09-30,South,Electronics,Phones,Phones Product 7943,344.66,261.32,8,2757.28,666.7200000000003,23
2023-01-31,South,Clothing,Men,Men Product 5033,376.33,292.01,17,6397.61,1433.4399999999998,106
2023-03-31,East,Grocery,Dairy,Dairy Product 6567,221.45,158.67,19,4207.55,1192.82,81
2023-01-31,East,Office Supplies,Pens,Pens Product 2120,271.4,247.75,4,1085.6,94.59999999999991,38
2023-07-31,East,Grocery,Beverages,Beverages Product 5612,80.13,53.81,2,160.26,52.639999999999986,19
2023-06-30,North,Clothing,Women,Women Product 7359,412.42,263.42,4,1649.68,596.0,118
2023-08-31,North,Office Supplies,Pens,Pens Product 5225,83.46,56.77,12,1001.52,320.27999999999986,54
2023-03-31,East,Clothing,Kids,Kids Product 7166,287.1,244.23,5,1435.5,214.35000000000016,29
2023-12-31,East,Furniture,Tables,Tables Product 8790,456.81,296.33,18,8222.58,2888.6400000000003,98
2023-12-31,West,Office Supplies,Pens,Pens Product 1126,286.92,242.11,5,1434.6000000000001,224.05,81
2023-10-31,West,Furniture,Chairs,Chairs Product 4368,43.77,27.45,14,612.7800000000001,228.48000000000005,49
2023-05-31,North,Clothing,Kids,Kids Product 5021,492.57,440.17,1,492.57,52.39999999999998,72
2023-09-30,North,Clothing,Kids,Kids Product 9766,374.68,251.77,9,3372.12,1106.19,44
2023-11-30,South,Office Supplies,Paper,Paper Product 4600,462.25,352.69,2,924.5,219.12,100
2023-11-30,West,Clothing,Kids,Kids Product 4572,79.02,52.29,7,553.14,187.10999999999999,61
2023-11-30,North,Electronics,Phones,Phones Product 5944,319.81,193.35,17,5436.77,2149.82,80
2023-04-30,North,Office Supplies,Paper,Paper Product 5422,213.17,134.27,8,1705.36,631.1999999999998,58
2023-07-31,South,Electronics,Phones,Phones Product 9477,219.13,192.82,17,3725.21,447.27000000000004,54
2023-03-31,North,Clothing,Women,Women Product 6797,232.11,181.87,17,3945.8700000000003,854.0800000000002,103
2023-01-31,West,Clothing,Kids,Kids Product 5873,173.84,108.9,3,521.52,194.82,41
2023-02-28,South,Furniture,Storage,Storage Product 1832,210.28,128.04,18,3785.04,1480.3200000000002,16
2023-08-31,East,Electronics,Accessories,Accessories Product 4310,106.1,82.43,8,848.8,189.3599999999999,63
2023-01-31,East,Grocery,Dairy,Dairy Product 6207,282.79,241.02,3,848.3700000000001,125.31000000000003,105
2023-05-31,South,Clothing,Men,Men Product 5425,209.13,149.19,18,3764.34,1078.92,16
2023-03-31,North,Electronics,Accessories,Accessories Product 7852,70.16,63.62,18,1262.8799999999999,117.71999999999998,11
2023-02-28,South,Office Supplies,Pens,Pens Product 2279,187.9,114.99,5,939.5,364.55000000000007,46
2023-12-31,North,Electronics,Laptops,Laptops Product 3679,117.56,110.63,12,1410.72,83.16000000000008,33
2023-01-31,East,Clothing,Women,Women Product 5033,247.54,192.92,9,2227.86,491.58000000000004,49
2023-09-30,East,Grocery,Beverages,Beverages Product 9633,78.28,69.84,4,313.12,33.75999999999999,35
2023-07-31,South,Grocery,Beverages,Beverages Product 9232,344.76,306.11,10,3447.6,386.4999999999998,109
2023-09-30,North,Furniture,Chairs,Chairs Product 3074,253.76,216.22,10,2537.6,375.3999999999999,95
2023-11-30,South,Electronics,Accessories,Accessories Product 3969,302.73,245.27,7,2119.11,402.22,19
2023-02-28,South,Grocery,Snacks,Snacks Product 6490,91.48,78.52,19,1738.1200000000001,246.24000000000015,62
2023-11-30,North,Furniture,Chairs,Chairs Product 2333,151.46,109.73,17,2574.82,709.4100000000001,68
2023-08-31,East,Furniture,Storage,Storage Product 9942,469.05,401.69,1,469.05,67.36000000000001,45
2023-04-30,East,Office Supplies,Pens,Pens Product 1481,35.2,27.24,13,457.6,103.48000000000006,116
2023-05-31,South,Electronics,Laptops,Laptops Product 1060,178.75,129.24,1,178.75,49.50999999999999,98
2023-07-31,North,Clothing,Women,Women Product 4549,47.21,29.61,12,566.52,211.20000000000002,53
2023-12-31,North,Furniture,Storage,Storage Product 4640,405.64,379.98,17,6895.88,436.21999999999946,83
2023-08-31,West,Electronics,Accessories,Accessories Product 6604,381.61,314.31,17,6487.37,1144.1000000000001,96
2023-12-31,North,Electronics,Laptops,Laptops Product 9238,118.39,111.96,13,1539.07,83.59000000000009,35
2023-07-31,North,Furniture,Storage,Storage Product 5430,282.35,216.17,7,1976.4500000000003,463.2600000000002,23
2023-03-31,North,Grocery,Dairy,Dairy Product 6085,462.95,435.11,18,8333.1,501.11999999999955,104
2023-02-28,East,Office Supplies,Pens,Pens Product 4223,265.99,219.6,14,3723.86,649.4600000000003,40
2023-03-31,South,Clothing,Men,Men Product 8694,351.18,252.48,12,4214.16,1184.4,48
2023-09-30,South,Electronics,Phones,Phones Product 9502,371.55,290.57,13,4830.150000000001,1052.7400000000002,51
2023-11-30,South,Clothing,Women,Women Product 3032,438.6,344.36,3,1315.8000000000002,282.72,48
2023-12-31,North,Grocery,Snacks,Snacks Product 8069,317.48,287.57,15,4762.200000000001,448.6500000000004,19
2023-04-30,East,Electronics,Accessories,Accessories Product 2165,371.42,253.89,3,1114.26,352.5900000000001,54
2023-05-31,South,Furniture,Tables,Tables Product 3632,30.63,18.57,14,428.82,168.83999999999997,88
2023-04-30,West,Electronics,Phones,Phones Product 5805,116.94,109.04,5,584.7,39.49999999999996,52
2023-02-28,North,Clothing,Women,Women Product 6429,91.85,86.97,8,734.8,39.039999999999964,29
2023-10-31,North,Grocery,Dairy,Dairy Product 4845,33.0,24.24,9,297.0,78.84000000000002,12
2023-07-31,South,Grocery,Beverages,Beverages Product 8657,443.06,409.7,17,7532.02,567.1200000000002,70
2023-01-31,South,Clothing,Women,Women Product 8287,85.41,75.63,6,512.46,58.68000000000001,22
2023-09-30,North,Grocery,Dairy,Dairy Product 8490,448.51,404.13,11,4933.61,488.17999999999995,114
2023-03-31,North,Clothing,Men,Men Product 1954,478.27,431.28,9,4304.43,422.9100000000001,88
2023-08-31,South,Furniture,Storage,Storage Product 9228,350.9,216.53,18,6316.2,2418.6599999999994,79
2023-05-31,West,Office Supplies,Paper,Paper Product 1317,495.82,308.17,13,6445.66,2439.45,105
2023-03-31,South,Grocery,Dairy,Dairy Product 2312,180.43,151.08,13,2345.59,381.54999999999995,118
2023-11-30,East,Clothing,Men,Men Product 5286,88.6,63.52,13,1151.8,326.0399999999999,98
2023-07-31,West,Clothing,Women,Women Product 8561,442.0,413.92,19,8398.0,533.5199999999998,40
2023-07-31,South,Clothing,Men,Men Product 1294,88.77,78.68,14,1242.78,141.25999999999985,86
2023-11-30,South,Furniture,Chairs,Chairs Product 5543,490.78,403.0,2,981.56,175.55999999999995,69
2023-06-30,West,Grocery,Dairy,Dairy Product 2435,148.84,90.26,9,1339.56,527.22,105
2023-05-31,South,Office Supplies,Pens,Pens Product 2040,60.23,55.9,4,240.92,17.319999999999993,77
2023-10-31,North,Office Supplies,Binders,Binders Product 8437,242.05,150.14,18,4356.900000000001,1654.3800000000006,59
2023-04-30,East,Grocery,Dairy,Dairy Product 8813,381.55,232.21,11,4197.05,1642.74,42
2023-07-31,South,Clothing,Kids,Kids Product 8266,228.49,158.98,4,913.96,278.0400000000001,90
2023-07-31,East,Grocery,Beverages,Beverages Product 4155,414.7,292.13,2,829.4,245.14,56
2023-01-31,East,Clothing,Kids,Kids Product 5179,481.99,294.47,15,7229.85,2812.7999999999997,89
2023-03-31,North,Clothing,Men,Men Product 2980,162.86,116.0,6,977.1600000000001,281.1600000000001,24
2023-08-31,North,Clothing,Men,Men Product 2607,190.58,172.0,16,3049.28,297.2800000000002,36
2023-01-31,North,Office Supplies,Binders,Binders Product 7342,54.67,35.74,14,765.38,265.02,59
2023-12-31,West,Clothing,Men,Men Product 8725,25.94,23.92,3,77.82000000000001,6.059999999999999,29
2023-07-31,South,Electronics,Laptops,Laptops Product 6797,71.34,59.92,4,285.36,45.68000000000001,18
2023-06-30,South,Electronics,Accessories,Accessories Product 4788,169.7,136.88,8,1357.6,262.55999999999995,20
2023-02-28,South,Electronics,Phones,Phones Product 9920,245.17,198.59,11,2696.87,512.3799999999999,54
2023-08-31,North,Electronics,Laptops,Laptops Product 7731,364.9,314.62,9,3284.1,452.51999999999975,26
2023-06-30,West,Electronics,Laptops,Laptops Product 7047,312.9,264.67,10,3129.0,482.2999999999996,49
2023-01-31,South,Furniture,Chairs,Chairs Product 8833,53.05,38.34,1,53.05,14.709999999999994,86
2023-10-31,East,Furniture,Tables,Tables Product 9619,347.84,306.17,2,695.68,83.33999999999992,115
2023-03-31,North,Electronics,Accessories,Accessories Product 1552,449.15,362.99,9,4042.35,775.4399999999997,112
2023-04-30,West,Furniture,Tables,Tables Product 1207,176.33,156.09,7,1234.3100000000002,141.68000000000006,84
2023-06-30,South,Office Supplies,Binders,Binders Product 5109,231.64,191.16,9,2084.7599999999998,364.31999999999994,69
2023-12-31,South,Clothing,Women,Women Product 4638,131.08,85.97,13,1704.0400000000002,586.4300000000002,28
2023-07-31,West,Office Supplies,Paper,Paper Product 8057,222.49,136.89,12,2669.88,1027.2000000000003,91
2023-08-31,North,Clothing,Women,Women Product 7236,487.65,403.59,10,4876.5,840.6,44
2023-01-31,West,Electronics,Accessories,Accessories Product 4453,435.45,372.1,5,2177.25,316.74999999999983,13
2023-03-31,North,Office Supplies,Binders,Binders Product 2394,293.55,221.19,2,587.1,144.72000000000003,109
2023-12-31,North,Furniture,Tables,Tables Product 4591,198.09,151.15,15,2971.35,704.0999999999999,106
2023-10-31,East,Office Supplies,Binders,Binders Product 5648,126.4,118.81,5,632.0,37.95000000000002,78
2023-08-31,East,Office Supplies,Paper,Paper Product 4216,293.91,244.51,7,2057.3700000000003,345.80000000000024,79
2023-12-31,North,Clothing,Men,Men Product 5555,136.49,113.27,1,136.49,23.220000000000013,49
2023-11-30,East,Office Supplies,Paper,Paper Product 6724,443.02,334.35,16,7088.32,1738.7199999999993,83
2023-01-31,North,Furniture,Tables,Tables Product 1575,230.22,185.5,12,2762.64,536.64,10
2023-05-31,East,Office Supplies,Paper,Paper Product 3203,184.8,145.39,17,3141.6000000000004,669.9700000000005,53
2023-04-30,North,Office Supplies,Pens,Pens Product 1281,142.18,88.15,5,710.9000000000001,270.15,29
2023-03-31,East,Grocery,Beverages,Beverages Product 2229,231.58,214.64,5,1157.9,84.70000000000013,42
2023-05-31,West,Office Supplies,Binders,Binders Product 8473,245.15,205.95,2,490.3,78.40000000000003,98
2023-08-31,East,Grocery,Beverages,Beverages Product 7294,262.64,202.52,12,3151.68,721.4399999999997,47
2023-12-31,South,Grocery,Snacks,Snacks Product 7812,339.98,319.4,1,339.98,20.58000000000004,17
2023-02-28,South,Grocery,Dairy,Dairy Product 7257,334.2,314.99,11,3676.2,211.30999999999977,83
2023-08-31,South,Furniture,Chairs,Chairs Product 5909,433.66,376.84,8,3469.28,454.5600000000004,98
2023-03-31,North,Office Supplies,Paper,Paper Product 9125,471.03,418.93,16,7536.48,833.5999999999995,78
2023-06-30,South,Office Supplies,Binders,Binders Product 4828,165.87,149.82,16,2653.92,256.8000000000002,22
2023-11-30,North,Grocery,Dairy,Dairy Product 5114,440.47,326.59,14,6166.58,1594.3200000000006,13
2023-09-30,North,Furniture,Tables,Tables Product 9189,165.43,149.57,1,165.43,15.860000000000014,97
2023-01-31,East,Electronics,Phones,Phones Product 6592,189.57,140.03,19,3601.83,941.2599999999999,69
2023-01-31,West,Electronics,Phones,Phones Product 8117,227.77,137.83,11,2505.4700000000003,989.3399999999999,108
2023-09-30,South,Furniture,Tables,Tables Product 2177,196.1,176.91,16,3137.6,307.03999999999996,75
2023-05-31,South,Electronics,Phones,Phones Product 6445,130.57,100.13,11,1436.27,334.84,57
2023-05-31,East,Furniture,Storage,Storage Product 7936,105.93,63.84,15,1588.95,631.35,24
2023-04-30,East,Office Supplies,Pens,Pens Product 7012,467.87,338.3,2,935.74,259.14,87
2023-11-30,West,Office Supplies,Paper,Paper Product 1105,465.51,366.03,8,3724.08,795.8400000000001,25
2023-02-28,South,Office Supplies,Binders,Binders Product 8052,143.59,106.94,11,1579.49,403.1500000000001,16
2023-10-31,North,Electronics,Laptops,Laptops Product 6291,459.7,344.12,7,3217.9,809.06,63
2023-11-30,East,Grocery,Snacks,Snacks Product 5616,11.27,9.28,9,101.42999999999999,17.910000000000004,35
2023-10-31,North,Furniture,Tables,Tables Product 7807,451.01,326.39,5,2255.05,623.1,77
2023-09-30,South,Clothing,Kids,Kids Product 1482,56.81,46.49,1,56.81,10.32,64
2023-07-31,North,Office Supplies,Binders,Binders Product 1987,272.33,180.41,5,1361.6499999999999,459.5999999999999,24
2023-09-30,North,Clothing,Women,Women Product 7780,253.42,239.67,3,760.26,41.25,16
2023-07-31,East,Electronics,Phones,Phones Product 2125,177.13,157.03,4,708.52,80.39999999999998,99
2023-04-30,North,Furniture,Storage,Storage Product 6472,51.97,47.45,3,155.91,13.559999999999988,82
2023-07-31,North,Clothing,Women,Women Product 3475,44.02,34.41,2,88.04,19.220000000000013,69
2023-06-30,West,Clothing,Men,Men Product 8426,300.48,251.82,12,3605.76,583.9200000000003,67
2023-02-28,West,Furniture,Storage,Storage Product 4374,187.84,178.15,8,1502.72,77.51999999999998,31
2023-10-31,West,Electronics,Accessories,Accessories Product 4719,57.37,43.47,16,917.92,222.39999999999998,21
2023-07-31,West,Office Supplies,Pens,Pens Product 9555,205.66,134.37,5,1028.3,356.44999999999993,93
2023-05-31,South,Electronics,Phones,Phones Product 5895,55.54,38.32,8,444.32,137.76,112
2023-12-31,West,Electronics,Phones,Phones Product 5576,393.19,333.45,14,5504.66,836.3600000000001,45
2023-09-30,South,Furniture,Chairs,Chairs Product 6962,52.94,49.12,9,476.46,34.38,74
2023-10-31,East,Clothing,Women,Women Product 5437,304.29,237.49,3,912.8700000000001,200.40000000000003,31
2023-10-31,West,Office Supplies,Paper,Paper Product 6548,255.56,188.86,6,1533.3600000000001,400.19999999999993,91
2023-10-31,West,Clothing,Women,Women Product 8693,435.35,384.01,16,6965.6,821.4400000000005,16
2023-03-31,North,Electronics,Accessories,Accessories Product 6907,95.03,80.13,18,1710.54,268.2000000000001,87
2023-02-28,North,Furniture,Tables,Tables Product 6901,74.94,67.57,4,299.76,29.480000000000018,104
2023-06-30,West,Electronics,Laptops,Laptops Product 8045,416.37,296.1,3,1249.1100000000001,360.80999999999995,50
2023-02-28,North,Electronics,Phones,Phones Product 8340,43.4,26.43,15,651.0,254.54999999999998,77
2023-04-30,East,Office Supplies,Paper,Paper Product 2884,225.36,143.55,6,1352.16,490.86,41
2023-12-31,South,Clothing,Women,Women Product 7488,188.75,138.78,5,943.75,249.85,92
2023-02-28,East,Furniture,Tables,Tables Product 6448,38.31,32.31,9,344.79,54.0,96
2023-03-31,South,Office Supplies,Binders,Binders Product 2638,97.11,81.77,1,97.11,15.340000000000003,13
2023-12-31,East,Electronics,Phones,Phones Product 8857,160.06,130.99,6,960.36,174.41999999999996,112
2023-03-31,South,Grocery,Dairy,Dairy Product 7140,190.2,141.69,14,2662.7999999999997,679.1399999999999,80
2023-02-28,East,Grocery,Snacks,Snacks Product 7793,75.56,56.41,6,453.36,114.90000000000003,88
2023-01-31,North,Furniture,Storage,Storage Product 3385,168.52,150.32,13,2190.76,236.60000000000022,94
2023-04-30,West,Grocery,Beverages,Beverages Product 7036,191.99,133.06,11,2111.8900000000003,648.23,72
2023-10-31,North,Office Supplies,Pens,Pens Product 5839,72.33,65.29,16,1157.28,112.63999999999987,91
2023-04-30,North,Clothing,Men,Men Product 3672,431.19,317.93,10,4311.9,1132.6,22
2023-09-30,West,Electronics,Phones,Phones Product 8177,471.99,416.82,16,7551.84,882.7200000000003,38
2023-12-31,West,Furniture,Tables,Tables Product 7869,392.77,349.09,2,785.54,87.36000000000001,17
2023-12-31,North,Electronics,Accessories,Accessories Product 8083,230.8,209.77,5,1154.0,105.15,41
2023-08-31,North,Electronics,Accessories,Accessories Product 8788,30.42,19.15,11,334.62,123.97000000000003,10
2023-01-31,West,Clothing,Kids,Kids Product 5531,478.69,410.78,14,6701.66,950.7400000000004,109
2023-12-31,East,Clothing,Kids,Kids Product 6439,183.87,136.84,5,919.35,235.15,103
2023-12-31,East,Furniture,Tables,Tables Product 3376,450.46,393.64,8,3603.68,454.55999999999995,34
2023-03-31,South,Furniture,Storage,Storage Product 9569,69.48,56.64,14,972.72,179.76000000000005,114
2023-04-30,North,Furniture,Tables,Tables Product 7303,153.48,144.73,13,1995.2399999999998,113.75,62
2023-10-31,East,Office Supplies,Binders,Binders Product 5583,175.75,162.54,9,1581.75,118.89000000000007,34
2023-10-31,West,Clothing,Women,Women Product 1685,310.34,288.64,12,3724.08,260.39999999999986,41
